names,lobe,hemisphere
1,S,R
2,P,R
3,F,R
4,F,R
5,F,R
6,O,R
7,P,R
8,S,R
9,T,R
10,P,R
11,T,R
12,O,R
13,F,R
14,S,R
15,F,R
16,P,R
17,S,R
18,F,R
19,F,R
20,F,R
21,F,R
22,O,R
23,T,R
24,F,R
25,F,R
26,T,R
27,F,R
28,F,R
29,F,R
30,T,R
31,P,R
32,T,R
33,F,R
34,P,R
35,P,R
36,S,L
37,P,L
38,F,L
39,F,L
40,S,L
41,O,L
42,P,L
43,S,L
44,T,L
45,P,L
46,T,L
47,O,L
48,F,L
49,S,L
50,F,L
51,P,L
52,S,L
53,F,L
54,F,L
55,F,L
56,F,L
57,O,L
58,T,L
59,F,L
60,F,L
61,T,L
62,F,L
63,F,L
64,F,L
65,T,L
66,P,L
67,T,L
68,F,L
69,P,L
70,P,L
